Date,Capel_Street,IN,OUT
01/01/2015,3481,1593,1888
02/01/2015,4437,2150,2287
03/01/2015,5278,2819,2459
04/01/2015,4098,2020,2078
05/01/2015,5757,3162,2595
06/01/2015,5642,3032,2610
07/01/2015,4308,2194,2114
08/01/2015,4905,2477,2428
09/01/2015,4969,2548,2421
10/01/2015,5453,2720,2733
11/01/2015,3913,1918,1995
12/01/2015,5020,2514,2506
13/01/2015,5027,2632,2395
14/01/2015,4936,2544,2392
15/01/2015,4900,2604,2296
16/01/2015,5820,3012,2808
17/01/2015,5844,3074,2770
18/01/2015,4407,2158,2249
19/01/2015,5596,2898,2698
20/01/2015,5480,2769,2711
21/01/2015,5687,2859,2828
22/01/2015,6058,3094,2964
23/01/2015,5830,2950,2880
24/01/2015,6288,3373,2915
25/01/2015,4481,2182,2299
26/01/2015,5380,2848,2532
27/01/2015,5691,2969,2722
28/01/2015,5377,2880,2497
29/01/2015,5364,2785,2579
30/01/2015,6075,3161,2914
31/01/2015,6255,3363,2892
01/02/2015,4601,2403,2198
02/02/2015,5498,2876,2622
03/02/2015,5796,3168,2628
04/02/2015,5975,3172,2803
05/02/2015,6286,3281,3005
06/02/2015,5946,3000,2946
07/02/2015,6648,3682,2966
08/02/2015,4379,2219,2160
09/02/2015,5336,2800,2536
10/02/2015,4785,2455,2330
11/02/2015,5760,2861,2899
12/02/2015,5184,2535,2649
13/02/2015,5821,2836,2985
14/02/2015,5974,3099,2875
15/02/2015,4535,2260,2275
16/02/2015,5635,3002,2633
17/02/2015,5981,3200,2781
18/02/2015,6512,3352,3160
19/02/2015,6163,3259,2904
20/02/2015,5330,2770,2560
21/02/2015,5757,2965,2792
22/02/2015,3880,1921,1959
23/02/2015,4837,2612,2225
24/02/2015,5505,2918,2587
25/02/2015,5810,2991,2819
26/02/2015,5485,2988,2497
27/02/2015,5993,3079,2914
28/02/2015,6133,3186,2947
01/03/2015,3906,1864,2042
02/03/2015,5146,2664,2482
03/03/2015,5689,3077,2612
04/03/2015,6113,3397,2716
05/03/2015,6334,3386,2948
06/03/2015,5978,3087,2891
07/03/2015,6139,3174,2965
08/03/2015,4611,2307,2304
09/03/2015,5178,2800,2378
10/03/2015,5743,3001,2742
11/03/2015,5918,3206,2712
12/03/2015,5330,2708,2622
13/03/2015,6301,3450,2851
14/03/2015,6362,3293,3069
15/03/2015,5104,2527,2577
16/03/2015,6830,3353,3477
17/03/2015,6597,3030,3567
18/03/2015,6339,3449,2890
19/03/2015,6502,3557,2945
20/03/2015,6137,3165,2972
21/03/2015,6522,3456,3066
22/03/2015,5023,2491,2532
23/03/2015,5491,2972,2519
24/03/2015,5586,2886,2700
25/03/2015,5809,2987,2822
26/03/2015,6198,3255,2943
27/03/2015,6702,3432,3270
28/03/2015,6136,3244,2892
29/03/2015,4461,2200,2261
30/03/2015,4990,2551,2439
31/03/2015,5214,2821,2393
01/04/2015,5453,2980,2473
02/04/2015,5416,2869,2547
03/04/2015,5505,2888,2617
04/04/2015,5939,3156,2783
05/04/2015,4128,1999,2129
06/04/2015,5387,2827,2560
07/04/2015,6219,3273,2946
08/04/2015,6043,3333,2710
09/04/2015,6604,3793,2811
10/04/2015,6277,3455,2822
11/04/2015,6079,3353,2726
12/04/2015,4314,2166,2148
13/04/2015,6054,3288,2766
14/04/2015,5767,3079,2688
15/04/2015,5919,3015,2904
16/04/2015,6936,3578,3358
17/04/2015,5810,3277,2533
18/04/2015,6897,3507,3390
19/04/2015,4939,2547,2392
20/04/2015,5967,3094,2873
21/04/2015,6322,3239,3083
22/04/2015,6399,3251,3148
23/04/2015,6381,3422,2959
24/04/2015,5697,3070,2627
25/04/2015,6020,3013,3007
26/04/2015,4896,2467,2429
27/04/2015,5461,2764,2697
28/04/2015,5580,2933,2647
29/04/2015,5638,2986,2652
30/04/2015,6670,3501,3169
01/05/2015,5909,3236,2673
02/05/2015,4142,2037,2105
03/05/2015,4796,2373,2423
04/05/2015,4629,2297,2332
05/05/2015,4987,2751,2236
06/05/2015,5391,2900,2491
07/05/2015,6517,3511,3006
08/05/2015,5390,2820,2570
09/05/2015,6327,3285,3042
10/05/2015,4843,2374,2469
11/05/2015,5769,3228,2541
12/05/2015,5684,3219,2465
13/05/2015,6564,3386,3178
14/05/2015,6142,3081,3061
15/05/2015,6872,3722,3150
16/05/2015,6415,3518,2897
17/05/2015,4586,2319,2267
18/05/2015,5548,3091,2457
19/05/2015,5829,3178,2651
20/05/2015,6221,3236,2985
21/05/2015,6127,3377,2750
22/05/2015,6584,3576,3008
23/05/2015,7362,3973,3389
24/05/2015,5215,2788,2427
25/05/2015,5900,3171,2729
26/05/2015,6358,3487,2871
27/05/2015,5537,2743,2794
28/05/2015,6116,3352,2764
29/05/2015,6131,3342,2789
30/05/2015,6327,3200,3127
31/05/2015,4724,2539,2185
01/06/2015,3622,1714,1908
02/06/2015,5692,3218,2474
03/06/2015,6509,3477,3032
04/06/2015,6173,3365,2808
05/06/2015,6084,3271,2813
06/06/2015,6462,3634,2828
07/06/2015,4744,2593,2151
08/06/2015,5903,3102,2801
09/06/2015,5989,3190,2799
10/06/2015,6312,3252,3060
11/06/2015,6424,3211,3213
12/06/2015,6542,3427,3115
13/06/2015,6326,3544,2782
14/06/2015,5084,2590,2494
15/06/2015,5724,3198,2526
16/06/2015,5854,3414,2440
17/06/2015,5969,3512,2457
18/06/2015,6365,3617,2748
19/06/2015,6282,3258,3024
20/06/2015,6321,3490,2831
21/06/2015,4748,2644,2104
22/06/2015,5623,3118,2505
23/06/2015,6135,3498,2637
24/06/2015,5928,3017,2911
25/06/2015,6171,3206,2965
26/06/2015,6463,3593,2870
27/06/2015,5874,2764,3110
28/06/2015,5122,2724,2398
29/06/2015,6020,3265,2755
30/06/2015,5876,3179,2697
01/07/2015,5680,3284,2396
02/07/2015,6174,2863,3311
03/07/2015,6429,3521,2908
04/07/2015,5855,3151,2704
05/07/2015,4574,2384,2190
06/07/2015,5220,2620,2600
07/07/2015,5868,3249,2619
08/07/2015,4758,2491,2267
09/07/2015,6326,3392,2934
10/07/2015,6186,3003,3183
11/07/2015,6168,3040,3128
12/07/2015,4972,2482,2490
13/07/2015,5631,3133,2498
14/07/2015,6314,3321,2993
15/07/2015,6409,3253,3156
16/07/2015,5719,2749,2970
17/07/2015,6385,3279,3106
18/07/2015,5881,2854,3027
19/07/2015,4740,2399,2341
20/07/2015,5771,2882,2889
21/07/2015,6145,3135,3010
22/07/2015,6033,3112,2921
23/07/2015,6618,3324,3294
24/07/2015,6990,3587,3403
25/07/2015,6677,3716,2961
26/07/2015,4241,2027,2214
27/07/2015,5559,2880,2679
28/07/2015,6336,3178,3158
29/07/2015,6265,3289,2976
30/07/2015,6743,3399,3344
31/07/2015,6729,3320,3409
01/08/2015,6630,3526,3104
02/08/2015,5065,2502,2563
03/08/2015,4886,2735,2151
04/08/2015,6079,3225,2854
05/08/2015,6099,2998,3101
06/08/2015,6613,3369,3244
07/08/2015,6779,3353,3426
08/08/2015,6650,3203,3447
09/08/2015,5398,2658,2740
10/08/2015,5522,3104,2418
11/08/2015,5704,3052,2652
12/08/2015,6398,3387,3011
13/08/2015,6477,3459,3018
14/08/2015,6750,3568,3182
15/08/2015,6243,3114,3129
16/08/2015,5276,2443,2833
17/08/2015,6298,3159,3139
18/08/2015,6436,3328,3108
19/08/2015,6063,2985,3078
20/08/2015,6157,2995,3162
21/08/2015,6651,3466,3185
22/08/2015,6574,3237,3337
23/08/2015,3863,1844,2019
24/08/2015,6579,3662,2917
25/08/2015,5567,2743,2824
26/08/2015,6602,3438,3164
27/08/2015,6535,3871,2664
28/08/2015,6454,3242,3212
29/08/2015,6243,3110,3133
30/08/2015,5644,2735,2909
31/08/2015,5809,2992,2817
01/09/2015,6187,3287,2900
02/09/2015,5809,2979,2830
03/09/2015,6524,3404,3120
04/09/2015,6544,3505,3039
05/09/2015,6621,3645,2976
06/09/2015,5207,2572,2635
07/09/2015,6179,3278,2901
08/09/2015,6402,3267,3135
09/09/2015,6344,3252,3092
10/09/2015,6802,3380,3422
11/09/2015,6420,3178,3242
12/09/2015,7001,3598,3403
13/09/2015,5018,2360,2658
14/09/2015,6374,3263,3111
15/09/2015,6610,3419,3191
16/09/2015,6948,3483,3465
17/09/2015,6592,3373,3219
18/09/2015,7894,3841,4053
19/09/2015,6966,3433,3533
20/09/2015,4906,2338,2568
21/09/2015,6893,3814,3079
22/09/2015,6612,3329,3283
23/09/2015,6424,3327,3097
24/09/2015,6408,3451,2957
25/09/2015,7412,3775,3637
26/09/2015,7037,3615,3422
27/09/2015,5186,2624,2562
28/09/2015,6125,3216,2909
29/09/2015,6680,3500,3180
30/09/2015,6807,3585,3222
01/10/2015,6863,3750,3113
02/10/2015,7359,3873,3486
03/10/2015,6620,3340,3280
04/10/2015,5579,2769,2810
05/10/2015,6152,3158,2994
06/10/2015,6175,3173,3002
07/10/2015,6810,3672,3138
08/10/2015,6660,3413,3247
09/10/2015,6908,3417,3491
10/10/2015,6867,3490,3377
11/10/2015,4901,2493,2408
12/10/2015,6190,3388,2802
13/10/2015,6497,3355,3142
14/10/2015,6482,3199,3283
15/10/2015,6609,3495,3114
16/10/2015,7000,3870,3130
17/10/2015,6167,3209,2958
18/10/2015,4760,2292,2468
19/10/2015,6194,3184,3010
20/10/2015,6032,3013,3019
21/10/2015,6148,3419,2729
22/10/2015,6676,3726,2950
23/10/2015,6564,3546,3018
24/10/2015,6134,3248,2886
25/10/2015,5432,2652,2780
26/10/2015,4126,2110,2016
27/10/2015,5720,3054,2666
28/10/2015,6399,3327,3072
29/10/2015,7351,3861,3490
30/10/2015,7101,3569,3532
31/10/2015,6655,3430,3225
01/11/2015,5246,2688,2558
02/11/2015,6208,3598,2610
03/11/2015,6207,3251,2956
04/11/2015,6383,3243,3140
05/11/2015,6440,3285,3155
06/11/2015,6557,3557,3000
07/11/2015,6487,3330,3157
08/11/2015,4125,2066,2059
09/11/2015,5539,3173,2366
10/11/2015,6452,3588,2864
11/11/2015,5960,3430,2530
12/11/2015,6356,3759,2597
13/11/2015,5286,2941,2345
14/11/2015,5453,2746,2707
15/11/2015,5317,2886,2431
16/11/2015,5637,2907,2730
17/11/2015,5438,2899,2539
18/11/2015,5673,3004,2669
19/11/2015,6649,3644,3005
20/11/2015,4110,2271,1839
21/11/2015,6261,3217,3044
22/11/2015,5466,2843,2623
23/11/2015,3895,2085,1810
24/11/2015,5907,3021,2886
25/11/2015,6298,3321,2977
26/11/2015,6553,3671,2882
27/11/2015,5952,3450,2502
28/11/2015,6432,3671,2761
29/11/2015,4740,2406,2334
30/11/2015,5997,3253,2744
01/12/2015,5932,3223,2709
02/12/2015,6306,3391,2915
03/12/2015,4633,2612,2021
04/12/2015,5504,2989,2515
05/12/2015,5627,2998,2629
06/12/2015,5711,2841,2870
07/12/2015,6090,3136,2954
08/12/2015,6269,3392,2877
09/12/2015,4384,2490,1894
10/12/2015,6256,3425,2831
11/12/2015,7021,3727,3294
12/12/2015,5121,3046,2075
13/12/2015,5507,2635,2872
14/12/2015,5816,2949,2867
15/12/2015,6403,3212,3191
16/12/2015,6877,3438,3439
17/12/2015,7331,3817,3514
18/12/2015,7730,3790,3940
19/12/2015,7841,4552,3289
20/12/2015,6074,2908,3166
21/12/2015,5693,3344,2349
22/12/2015,4823,2354,2469
23/12/2015,6094,2913,3181
24/12/2015,5221,2610,2611
25/12/2015,996,549,447
26/12/2015,3637,1750,1887
27/12/2015,4481,2165,2316
28/12/2015,4685,2254,2431
29/12/2015,5243,2481,2762
30/12/2015,5224,2546,2678
31/12/2015,5326,2704,2622
