Date,Mary_Street,IN,OUT
01/01/2015,2257,1188,1069
02/01/2015,7077,3339,3738
03/01/2015,6139,2786,3353
04/01/2015,5322,2323,2999
05/01/2015,6670,3133,3537
06/01/2015,6168,2992,3176
07/01/2015,3905,2131,1774
08/01/2015,5917,2873,3044
09/01/2015,4365,2389,1976
10/01/2015,5679,3002,2677
11/01/2015,4044,2041,2003
12/01/2015,5180,2633,2547
13/01/2015,4788,2587,2201
14/01/2015,5048,2442,2606
15/01/2015,4087,2250,1837
16/01/2015,6350,3089,3261
17/01/2015,7199,3438,3761
18/01/2015,5368,2361,3007
19/01/2015,6345,2924,3421
20/01/2015,5279,2486,2793
21/01/2015,5925,2834,3091
22/01/2015,7013,3262,3751
23/01/2015,5476,2819,2657
24/01/2015,7777,3633,4144
25/01/2015,5206,2610,2596
26/01/2015,5378,2800,2578
27/01/2015,5546,2911,2635
28/01/2015,4229,2401,1828
29/01/2015,3909,2318,1591
30/01/2015,6332,3248,3084
31/01/2015,7016,3527,3489
01/02/2015,5372,2527,2845
02/02/2015,6049,3106,2943
03/02/2015,6002,2929,3073
04/02/2015,6521,3020,3501
05/02/2015,6978,3269,3709
06/02/2015,6214,2924,3290
07/02/2015,6590,3291,3299
08/02/2015,4085,2262,1823
09/02/2015,5186,2834,2352
10/02/2015,5512,2888,2624
11/02/2015,5922,2925,2997
12/02/2015,6719,3414,3305
13/02/2015,5490,2935,2555
14/02/2015,7622,3705,3917
15/02/2015,4727,2489,2238
16/02/2015,5601,3033,2568
17/02/2015,6373,3355,3018
18/02/2015,6186,3124,3062
19/02/2015,5791,3165,2626
20/02/2015,6704,3581,3123
21/02/2015,7049,3485,3564
22/02/2015,4077,2061,2016
23/02/2015,4014,2185,1829
24/02/2015,5439,2828,2611
25/02/2015,5562,2909,2653
26/02/2015,5379,2955,2424
27/02/2015,7044,3685,3359
28/02/2015,6830,3481,3349
01/03/2015,3202,1734,1468
02/03/2015,5259,2972,2287
03/03/2015,5221,2836,2385
04/03/2015,6990,3557,3433
05/03/2015,6398,3585,2813
06/03/2015,5513,3202,2311
07/03/2015,6926,3855,3071
08/03/2015,4940,2692,2248
09/03/2015,5050,2966,2084
10/03/2015,6862,3460,3402
11/03/2015,5938,3072,2866
12/03/2015,4667,2687,1980
13/03/2015,8556,4547,4009
14/03/2015,6983,3568,3415
15/03/2015,5668,2840,2828
16/03/2015,7227,3881,3346
17/03/2015,5931,3177,2754
18/03/2015,7313,3724,3589
19/03/2015,7453,3743,3710
20/03/2015,6487,3688,2799
21/03/2015,8456,4425,4031
22/03/2015,6339,3524,2815
23/03/2015,5176,3092,2084
