Date, O_Connell_St_Outside_Clerys,IN,OUT
01/01/2015,10761,5879,4882
02/01/2015,16964,7414,9550
03/01/2015,12856,5369,7487
04/01/2015,10722,4786,5936
05/01/2015,17099,8481,8618
06/01/2015,16441,7303,9138
07/01/2015,11451,5643,5808
08/01/2015,14995,7128,7867
09/01/2015,13913,6458,7455
10/01/2015,13461,5921,7540
11/01/2015,7669,4042,3627
12/01/2015,15235,6974,8261
13/01/2015,13935,6456,7479
14/01/2015,13729,6906,6823
15/01/2015,13886,6414,7472
16/01/2015,18247,7838,10409
17/01/2015,15266,6446,8820
18/01/2015,11743,4849,6894
19/01/2015,16363,7662,8701
20/01/2015,13692,6758,6934
21/01/2015,16359,7031,9328
22/01/2015,16411,7483,8928
23/01/2015,15106,7289,7817
24/01/2015,14747,6619,8128
25/01/2015,10248,5031,5217
26/01/2015,14944,6675,8269
27/01/2015,14758,7212,7546
28/01/2015,13864,6300,7564
29/01/2015,10383,4817,5566
30/01/2015,18598,7980,10618
31/01/2015,13535,5265,8270
01/02/2015,11400,4991,6409
02/02/2015,16024,6992,9032
03/02/2015,16731,7085,9646
04/02/2015,17446,7729,9717
05/02/2015,16825,7084,9741
06/02/2015,16070,7675,8395
07/02/2015,13909,6052,7857
08/02/2015,8468,3946,4522
09/02/2015,12987,6929,6058
10/02/2015,11732,6034,5698
11/02/2015,11326,5777,5549
12/02/2015,13557,7205,6352
13/02/2015,10974,5318,5656
14/02/2015,14663,9655,5008
15/02/2015,9683,4868,4815
16/02/2015,16383,7142,9241
17/02/2015,16369,8073,8296
18/02/2015,16369,8482,7887
19/02/2015,15500,7508,7992
20/02/2015,16899,9457,7442
21/02/2015,14591,6441,8150
22/02/2015,7142,3719,3423
23/02/2015,4906,2714,2192
24/02/2015,4522,2621,1901
25/02/2015,4219,2406,1813
26/02/2015,15079,7049,8030
27/02/2015,17070,8456,8614
28/02/2015,10433,5256,5177
01/03/2015,8649,4296,4353
02/03/2015,13514,6436,7078
03/03/2015,14555,6742,7813
04/03/2015,17679,8000,9679
05/03/2015,15675,7986,7689
06/03/2015,17002,8065,8937
07/03/2015,13335,7157,6178
08/03/2015,10967,5026,5941
09/03/2015,13185,6359,6826
10/03/2015,16047,7141,8906
11/03/2015,12791,6007,6784
12/03/2015,6145,3080,3065
13/03/2015,20650,8749,11901
14/03/2015,13297,5598,7699
15/03/2015,10232,4644,5588
16/03/2015,14426,6702,7724
17/03/2015,11422,5709,5713
18/03/2015,18305,8228,10077
19/03/2015,16775,7298,9477
20/03/2015,14455,6202,8253
21/03/2015,19155,7974,11181
22/03/2015,13006,5823,7183
23/03/2015,14578,6668,7910
24/03/2015,14783,6451,8332
25/03/2015,14351,6572,7779
26/03/2015,6251,2716,3535
27/03/2015,16398,7658,8740
28/03/2015,11737,5737,6000
29/03/2015,9422,4419,5003
30/03/2015,10416,5322,5094
31/03/2015,14594,6429,8165
01/04/2015,,,
02/04/2015,7478,3795,3683
03/04/2015,11822,5129,6693
04/04/2015,14143,5960,8183
05/04/2015,12984,6346,6638
06/04/2015,21821,9686,12135
07/04/2015,20279,9036,11243
08/04/2015,,,
09/04/2015,,,
10/04/2015,,,
11/04/2015,,,
12/04/2015,,,
13/04/2015,,,
14/04/2015,,,
15/04/2015,,,
16/04/2015,,,
17/04/2015,,,
18/04/2015,,,
19/04/2015,,,
20/04/2015,,,
21/04/2015,,,
22/04/2015,,,
23/04/2015,,,
24/04/2015,,,
25/04/2015,,,
26/04/2015,,,
27/04/2015,,,
28/04/2015,,,
29/04/2015,,,
30/04/2015,,,
01/05/2015,,,
02/05/2015,,,
03/05/2015,8669,3788,4881
04/05/2015,9496,4960,4536
05/05/2015,2491,1202,1289
06/05/2015,9376,4434,4942
07/05/2015,16010,7057,8953
08/05/2015,9096,4153,4943
09/05/2015,14625,6675,7950
10/05/2015,,,
11/05/2015,,,
12/05/2015,,,
13/05/2015,,,
14/05/2015,,,
15/05/2015,,,
16/05/2015,,,
17/05/2015,,,
18/05/2015,,,
19/05/2015,,,
20/05/2015,,,
21/05/2015,,,
22/05/2015,,,
23/05/2015,,,
24/05/2015,,,
25/05/2015,,,
26/05/2015,,,
27/05/2015,,,
28/05/2015,,,
29/05/2015,,,
30/05/2015,,,
31/05/2015,,,
01/06/2015,,,
02/06/2015,,,
03/06/2015,,,
04/06/2015,,,
05/06/2015,,,
06/06/2015,,,
07/06/2015,11203,4800,6403
08/06/2015,4292,1954,2338
09/06/2015,4968,2761,2207
10/06/2015,19824,12284,7540
11/06/2015,16538,8063,8475
12/06/2015,15741,7147,8594
13/06/2015,16245,6914,9331
14/06/2015,12921,5643,7278
15/06/2015,,,
