time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-01,11.4,8.9,14.1,4.6,,214.0,39.9,,1013.3,
2015-01-02,5.4,3.2,6.8,8.4,,241.0,31.8,,1026.8,
2015-01-03,3.1,3.5,5.8,1.2,,315.0,12.6,,1023.8,
2015-01-04,2.2,-2.4,9.8,0.0,,186.0,8.0,,1031.4,
2015-01-05,8.5,-1.6,12.0,0.8,,196.0,14.9,,1021.2,
2015-01-06,5.9,3.1,9.0,0.9,,227.0,24.8,,1017.1,
2015-01-07,9.1,3.1,12.1,6.8,,212.0,38.6,,1010.3,
2015-01-08,6.4,3.9,10.7,2.6,,231.0,32.3,,1015.2,
2015-01-09,10.8,4.4,15.0,7.2,,237.0,46.9,,,
2015-01-10,6.4,4.6,5.7,0.0,,251.0,43.4,,1011.7,
2015-01-11,5.1,1.8,9.9,2.8,,235.0,36.3,,1016.9,
2015-01-12,6.8,4.4,7.2,0.1,,228.0,38.6,,,
2015-01-13,2.3,1.4,4.7,0.0,,231.0,32.9,,996.8,
2015-01-14,3.7,-0.2,10.7,6.3,,208.0,38.6,,,
2015-01-15,4.3,1.0,5.8,3.9,,229.0,48.3,,,
2015-01-16,1.8,1.0,3.4,0.0,,249.0,27.5,,1003.6,
2015-01-17,1.7,0.8,4.4,0.0,,239.0,24.8,,1009.0,
2015-01-18,1.2,-0.9,5.2,0.0,10.0,299.0,21.8,,1016.7,
2015-01-19,-0.8,-4.3,3.8,0.1,,204.0,12.2,,1015.3,
2015-01-20,3.2,-3.7,4.7,1.6,,123.0,15.0,,1004.9,
2015-01-21,1.8,1.3,4.7,0.1,,300.0,13.4,,1008.0,
2015-01-22,1.8,0.0,7.6,0.1,,246.0,8.3,,1020.0,
2015-01-23,6.4,-0.9,10.6,2.2,,223.0,24.7,,1017.1,
2015-01-24,3.3,0.6,8.3,0.0,,247.0,21.6,,1027.7,
2015-01-25,8.3,1.1,11.5,1.5,,226.0,26.4,,1024.7,
2015-01-26,5.7,3.4,7.2,0.0,,265.0,23.1,,1026.2,
2015-01-27,6.1,3.3,9.5,1.2,,231.0,23.1,,1024.8,
2015-01-28,4.6,2.4,4.6,0.6,,250.0,41.9,,1002.0,
2015-01-29,1.6,1.3,4.2,5.7,10.0,256.0,36.9,,984.6,
2015-01-30,3.2,0.3,6.5,0.0,10.0,278.0,30.3,,983.1,
2015-01-31,2.3,1.0,5.2,0.0,,306.0,33.9,,995.5,
2015-02-01,0.7,-1.9,4.6,0.0,,290.0,21.3,,1008.5,
2015-02-02,-0.3,-2.3,4.2,0.0,,280.0,14.1,,1009.4,
2015-02-03,-1.3,-5.5,4.8,0.0,,300.0,13.2,,1014.1,
2015-02-04,0.1,-4.8,5.5,0.0,,312.0,15.5,,1026.7,
2015-02-05,3.7,-3.5,7.7,0.0,,311.0,15.2,,1031.3,
2015-02-06,4.2,1.8,6.2,0.0,,31.0,8.9,,1035.8,
2015-02-07,4.8,2.7,7.6,0.0,,330.0,11.6,,1040.7,
2015-02-08,0.4,-2.0,2.5,0.0,,272.0,17.1,,1042.0,
2015-02-09,2.8,-0.6,5.0,0.0,,278.0,17.3,,1037.8,
2015-02-10,2.6,1.8,5.1,0.0,,224.0,7.9,,1031.7,
2015-02-11,4.1,0.8,6.1,0.0,,185.0,8.1,,1022.5,
2015-02-12,4.9,2.9,8.1,0.2,,179.0,11.3,,1015.2,
2015-02-13,6.3,3.8,8.9,2.7,,213.0,19.5,,994.3,
2015-02-14,6.1,3.5,10.1,0.0,,49.0,14.3,,1005.5,
2015-02-15,4.8,-0.1,10.4,6.2,,173.0,12.8,,1010.8,
2015-02-16,4.7,3.7,7.6,0.0,,266.0,21.5,,1016.5,
2015-02-17,4.6,-0.1,9.9,0.0,,224.0,21.6,,1034.1,
2015-02-18,9.6,4.2,12.7,0.9,,207.0,26.1,,1027.4,
2015-02-19,6.8,6.7,8.8,2.4,,227.0,23.2,,1013.3,
2015-02-20,2.9,1.0,6.7,0.0,,245.0,23.1,,1005.5,
2015-02-21,2.3,0.8,7.1,0.6,,265.0,27.0,,1004.9,
2015-02-22,5.2,0.3,10.9,4.6,,218.0,29.6,,993.9,
2015-02-23,2.9,0.7,6.0,3.9,,231.0,40.8,,983.3,
2015-02-24,4.7,1.0,8.5,2.5,,253.0,33.9,,1002.9,
2015-02-25,8.9,4.0,12.2,2.0,,238.0,21.0,,1011.0,
2015-02-26,6.6,5.9,7.8,0.0,,251.0,31.7,,1010.8,
2015-02-27,4.4,1.0,8.7,0.0,,216.0,26.3,,,
2015-02-28,8.7,3.2,12.3,0.4,,218.0,30.6,,,
2015-03-01,3.5,3.3,5.8,8.2,10.0,241.0,32.5,,995.5,
2015-03-02,1.9,0.4,5.2,2.7,10.0,235.0,33.4,,1004.4,
2015-03-03,2.4,0.3,6.0,0.2,10.0,234.0,32.4,,1012.4,
2015-03-04,4.6,1.1,9.9,0.0,,250.0,26.9,,1030.7,
2015-03-05,8.5,3.1,11.1,0.0,,218.0,25.4,,1033.8,
2015-03-06,8.9,8.1,12.4,0.0,,206.0,35.0,,1023.7,
2015-03-07,11.4,8.7,14.8,3.4,,208.0,37.4,,1013.0,
2015-03-08,7.2,7.4,10.3,1.1,,248.0,23.4,,1019.5,
2015-03-09,7.4,-0.5,14.3,0.8,,199.0,34.9,,1016.0,
2015-03-10,5.7,2.1,11.6,0.4,,200.0,18.8,,1028.8,
